2019-05-22 09:16:53.852 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:16:55.852 INFO  (qtp1908316405-19) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:16:57.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:16:59.854 INFO  (qtp1908316405-19) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:01.852 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:03.852 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:05.853 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:07.851 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:09.852 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:11.853 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:13.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:15.852 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:17.852 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:19.852 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:21.853 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:23.853 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:25.853 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:27.851 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:29.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:31.853 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:33.854 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:35.852 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:37.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:39.852 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:41.853 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:43.852 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:45.853 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:17:47.852 INFO  (qtp1908316405-188) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
